No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
255,2008,TRADING & WHOLESALE,"1,300,002",GOOD,"7,164",60,"2,943,590","2,854,808","8,637,635","10,783,123","11,581,225","13,637,931","7,958,572","9,646,546","9,160,388","11,315,177","1,300,000","1,300,000","1,120,837","1,022,754","2,420,837","2,322,754","24,919,602","22,988,240","320,865","33,890","240,270","-98,083"
256,1989,TRADING & WHOLESALE,"2,600,002",GOOD,"11,560",59,"152,461","169,861","15,310,959","16,717,220","15,463,420","16,887,081","14,423,358","52,992","14,469,354","14,899,533","2,600,000","2,600,000","-1,605,934","-612,452","994,066","1,987,548","40,446,425","42,520,331","165,509","1,129,213","165,509","993,482"
257,1994,TRADING & WHOLESALE,"1,000,002",GOOD,"6,623",60,"2,302,578","2,498,596","2,317,892","1,649,313","4,620,470","4,147,909","2,398,654","1,893,579","3,976,908","1,893,579","800,000","1,000,000","-156,438","-148,299","643,562","2,254,330","6,264,761","6,077,774","204,987","55,692","144,356","8,139"
258,2007,TRADING & WHOLESALE,"2,500,002",GOOD,"11,210",60,"4,084,421","4,187,929","4,567,227","7,812,968","8,651,648","12,000,897","5,117,016","6,480,438","6,956,545","8,741,740","500,000","500,000","1,195,103","2,759,157","1,695,103","3,259,157","22,652,671","28,014,827","674,556","2,204,636","397,278","1,564,054"
259,2007,TRADING & WHOLESALE,"250,002",GOOD,"6,262",60,"3,136","2,258","679,625","596,595","682,761","598,853","411,221","324,134","413,921","326,834","250,000","250,000","18,840","22,019","268,840","272,019","2,571,615","1,990,998","111,194","3,806","89,609","3,179"
260,2009,TRADING & WHOLESALE,"500,002",GOOD,"275,000",33,"833,215","1,150,434","4,732,493","5,280,441","5,565,708","6,430,875","3,485,594","4,199,527","3,938,259","4,945,090","500,000","500,000","1,127,449","985,785","1,627,449","1,485,785","9,587,264","8,230,751","718,824","651,083","508,451","458,336"
261,1996,TRADING & WHOLESALE,"350,004",GOOD,"133,984",36,"2,091,522","1,739,929","6,674,177","5,352,971","8,765,699","7,092,900","3,076,500","2,416,671","4,600,807","2,951,141","250,002","250,002","3,914,890","3,891,757","4,164,892","4,141,759","10,073,059","10,237,704","413,785","-14,356","408,305","-23,133"
262,2004,TRADING & WHOLESALE,"2,500,002",GOOD,"976,000",36,"3,511,565","8,929,025","6,745,360","8,516,624","10,256,925","17,445,649","6,309,478","9,629,967","7,960,447","14,944,901","1,002,000","1,002,000","1,294,478","1,498,748","2,296,478","2,500,748","40,090,362","51,155,811","482,279","184,223","373,240","204,270"
263,1989,TRADING & WHOLESALE,"650,002",GOOD,"172,400",36,"1,755,701","1,669,945","4,767,466","5,316,089","6,523,167","6,986,034","5,602,155","5,383,494","5,856,535","6,227,895","650,000","650,000","16,632","108,139","666,632","758,139","8,562,425","8,370,776","2,988","139,255","-41,568","91,507"
264,2010,TRADING & WHOLESALE,"501,002",GOOD,"647,100",60,"13,992","67,633","1,853,281","4,630,796","1,867,273","4,698,429","1,965,866","4,723,026","1,965,866","4,723,026","1,000","501,000","-99,593","-525,597","-98,593","-24,597","12,055,415","15,282,695","4,013","-453,661","-2,709","-453,661"
265,2011,TRADING & WHOLESALE,"1,380,002",GOOD,"90,000",42,"610,899","569,535","1,596,346","1,936,969","2,207,245","2,506,504","1,275,024","1,282,444","1,406,013","1,382,258","40,000","40,000","761,232","1,084,246","801,232","1,124,246","7,096,116","7,863,128","363,902","398,702","279,021","323,014"
