No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
448,1995,CONSTRUCTION ,"1,300,000",GOOD,"70,822",60,"10,335,537","7,254,061","10,039,597","10,298,661","20,375,134","17,552,722","2,058,351","1,576,477","10,283,705","9,594,951","1,300,000","1,300,000","8,791,429","6,657,771","10,091,429","7,957,771","5,068,366","1,996,178","-3,946,827","-2,133,658","-6,972,688","-2,133,658"
449,1993,CONSTRUCTION ,"500,000",GOOD,"13,457",60,"823,606","672,869","13,399,702","7,990,268","14,223,308","8,663,137","2,006,002","1,338,751","2,036,750","1,351,725","500,000","500,000","11,686,558","6,811,412","12,186,558","7,311,412","10,853,872","10,706,862","1,292,145","379,640","999,682","124,854"
450,2006,CONSTRUCTION ,"165,000",GOOD,"71,750",36,"737,879","505,691","4,574,322","5,269,261","5,312,201","5,774,952","3,400,788","3,932,688","3,761,463","4,103,822","165,000","165,000","1,385,738","1,506,130","1,550,738","1,671,130","10,428,136","8,295,986","388,541","375,205","204,644","120,392"
451,1994,CONSTRUCTION ,"900,000",GOOD,"669,900",52,"3,168,540","3,142,957","8,248,286","7,825,623","11,416,826","10,968,580","8,843,746","8,385,368","10,098,795","9,645,746","900,000","900,000","-174,414","-126,693","725,586","773,307","21,244,877","19,748,447","-479,517","30,936","-442,930","4,803"
452,1989,CONSTRUCTION ,"1,000,000",GOOD,"3,638,952",36,"96,981,263","100,928,860","67,423,592","82,231,798","164,404,855","183,160,658","82,669,553","86,165,880","128,746,696","144,961,313","1,000,000","1,000,000","34,477,847","37,019,017","35,658,016","38,199,186","38,194,559","71,923,511","3,261,087","3,937,425","2,221,744","2,541,170"
453,1996,CONSTRUCTION ,"500,000",GOOD,"70,200",36,"10,480,987","10,366,188","13,329,714","13,418,244","23,810,701","23,784,432","16,438,237","16,149,929","20,878,604","20,537,709","500,000","500,000","2,432,097","2,746,723","2,932,097","3,246,723","11,229,460","15,212,284","-55,577","448,393","-177,704","314,626"
454,2014,CONSTRUCTION ,"250,000",GOOD,"282,000",36,"2,546,476","2,091,623","4,209,628","6,518,053","6,756,104","8,609,676","6,168,328","8,102,301","6,770,847","8,529,663","250,000","250,000","-264,743","-169,987","-14,743","80,013","7,033,984","7,916,380","127,213","130,756","96,443","94,756"
455,1992,CONSTRUCTION ,"1,000,101",GOOD,"25,710",60,"173,689","466,061","40,609,293","43,865,591","40,782,981","44,331,652","38,219,770","40,947,645","38,373,079","41,359,824","1,000,100","1,000,100","1,409,802","1,971,729","2,409,902","2,971,829","58,495,159","46,649,261","685,365","827,103","453,799","561,927"
456,2010,CONSTRUCTION ,"1,000,001",GOOD,"456,000",60,"669,737","502,126","5,709,823","5,579,047","6,379,560","6,081,173","6,419,833","6,392,965","6,420,133","6,393,265","100,000","100,000","-140,573","-412,092","-40,573","-312,092","12,733,059","12,820,568","-274,834","-271,519","-274,834","-271,519"
457,2015,CONSTRUCTION ,"100,002",GOOD,"408,000",48,n.a.,"592,645",n.a.,"451,332",n.a.,"1,043,977",n.a.,"673,778",n.a.,"899,191",n.a.,"50,000",n.a.,"94,786",n.a.,"144,786",n.a.,"1,887,583",n.a.,"106,617",n.a.,"94,786"
458,2009,CONSTRUCTION ,"100,002",GOOD,"279,000",48,"1,224,317","638,602","1,255,223","987,853","2,479,540","1,626,455","2,774,984","2,716,728","3,581,236","3,170,133","100,000","100,000","-1,201,696","-1,643,678","-1,101,696","-1,543,678","3,025,083","2,480,248","-1,186,887","-441,982","-1,225,904","-441,982"
459,1992,CONSTRUCTION ,"3,000,002",GOOD,"490,560",36,"5,611,868","5,211,407","32,985,393","32,942,839","38,597,261","38,154,246","28,166,843","26,029,094","31,319,249","31,057,462","3,000,000","3,000,000","4,278,012","4,096,784","7,278,012","7,096,784","36,374,110","24,808,025","130,424","138,772","194,643","-181,228"
460,2003,CONSTRUCTION ,"3,000,002",GOOD,"438,000",36,"8,485,250","9,097,282","9,241,702","6,593,467","17,726,952","15,690,749","8,972,192","6,300,690","10,878,395","7,983,665","3,000,000","3,000,000","3,848,557","4,707,084","6,848,557","7,707,084","16,064,079","16,633,276","1,435,543","974,072","1,344,855","858,527"
461,1993,CONSTRUCTION ,"1,000,000",GOOD,"159,480",36,"10,995,235","8,727,472","21,157,929","20,685,570","32,153,164","29,413,042","18,716,929","16,486,792","26,953,983","22,363,720","1,000,000","1,000,000","4,199,181","6,049,322","5,199,181","7,049,322","49,094,375","96,560,655","701,389","2,403,558","446,582","1,850,141"
462,2004,CONSTRUCTION ,"1,000,000",GOOD,"85,000",24,"961,110","1,198,418","1,660,709","2,565,839","2,621,819","3,764,257","852,687","1,689,422","1,125,338","2,087,750","1,000,000","1,000,000","496,481","676,507","1,496,481","1,676,507","4,501,097","5,874,646","249,282","230,385","182,501","180,026"
463,2011,CONSTRUCTION ,"300,000",GOOD,"260,000",36,"2,180,051","1,922,289","1,683,767","2,157,029","3,863,818","4,079,318","4,483,809","4,413,199","4,507,865","4,595,749","300,000","300,000","-944,047","-816,431","-644,047","-516,431","1,950,797","2,374,948","-398,880","127,616","-398,880","127,616"
464,1999,LAND TRANSPORT ,"250,002",GOOD,"740,800",60,"29,069","16,439","204,699","203,106","233,768","219,545","118,387","139,385","118,387","139,385","250,002","250,002","-134,621","-169,842","115,381","80,160","322,112","260,360","-20,602","-25,634","-20,602","-25,634"
465,2006,LAND TRANSPORT ,"400,003",GOOD,"380,000",60,"524,288","371,612","395,139","534,063","919,427","905,675","310,924","268,678","723,561","693,038","300,003","300,003","-104,137","-87,366","195,866","212,637","1,451,975","1,536,584","12,767","26,122","-39,795","16,771"
466,1997,LAND TRANSPORT ,"3,000,000",GOOD,"28,055",60,"5,458,506","9,032,643","6,482,508","5,001,424","11,941,014","14,034,067","7,868,487","6,414,340","8,727,199","9,489,359","1,000,000","1,000,000","2,213,815","3,544,708","3,213,815","4,544,708","9,176,264","18,060,741","1,471,653","1,420,751","1,420,919","1,330,893"
467,2002,LAND TRANSPORT ,"780,002",GOOD,"394,000",36,"498,534","655,418","542,036","796,308","1,040,571","1,451,726","1,255,380","1,705,308","1,285,962","1,902,328","780,002","780,002","-1,025,393","-1,230,604","-245,391","-450,602","1,661,783","2,479,665","-38,560","-210,617","-36,602","-205,211"
468,1978,LAND TRANSPORT ,"250,000",GOOD,"88,000",36,"616,309","745,600","880,461","1,072,987","1,496,771","1,818,586","872,404","1,055,987","1,348,261","1,590,530","250,000","250,000","-101,491","-21,943","148,509","228,057","2,979,482","2,806,964","31,832","104,567","26,339","79,547"
469,2011,LAND TRANSPORT ,"250,000",GOOD,"186,000",60,"301,328","143,913","326,503","328,532","627,831","472,445","909,821","707,667","1,151,736","813,255","250,000","250,000","-773,905","-590,810","-523,905","-340,810","1,513,637","1,605,526","-195,729","183,095","-195,729","183,095"
470,2012,LAND TRANSPORT ,"1,230,001",GOOD,"297,600",48,n.a.,"20,559","398,533","753,115","398,533","773,674","279,101","238,197","279,101","238,197","100,000","500,000","19,432","35,477","119,432","535,477","2,386,813","14,456,303","24,232","24,938","19,432","16,045"
471,2005,LAND TRANSPORT ,"1,000,001",GOOD,"820,400",60,"1,802,902","1,838,788","640,533","775,270","2,443,435","2,614,058","775,255","979,096","2,438,239","2,673,755","700,000","700,000","-694,804","-759,697","5,196","-59,697","2,525,514","2,785,531","-78,695","-48,546","-103,834","-64,893"
472,2009,LAND TRANSPORT ,"100,001",GOOD,"85,000",30,n.a.,n.a.,"115,358","81,821","115,358","81,821","5,020","4,320","5,020","4,320","100,000","100,000",n.a.,n.a.,"110,338","77,501","452,310","334,170","1,781","-32,837",893,"-32,837"
473,1990,LAND TRANSPORT ,"500,001",GOOD,"472,500",36,"143,867","108,298","346,250","379,033","490,117","487,331","367,079","413,099","486,888","519,177","100,000","100,000","-96,771","-131,846","3,229","-31,846","1,526,525","1,545,626","-21,202","-34,994","-22,614","-35,075"
474,2014,LAND TRANSPORT ,"250,002",GOOD,"448,000",36,n.a.,"410,242",n.a.,"172,629",n.a.,"582,871",n.a.,"674,241",n.a.,"685,052",n.a.,2,n.a.,"-102,183",n.a.,"-102,181",n.a.,"357,353",n.a.,"-91,372",n.a.,"-102,183"
475,2003,LAND TRANSPORT ,"250,002",GOOD,"2,872,800",48,"1,781,246","2,178,979","3,039,116","3,221,218","4,820,362","5,400,197","2,977,654","3,215,167","3,849,696","4,509,771","250,000","250,000","720,666","640,426","970,666","890,426","8,281,578","8,976,101","99,715","-4,767","21,487","-80,240"
476,2009,LAND TRANSPORT ,"300,002",GOOD,"820,000",60,"803,133","1,051,752","119,518","197,506","922,651","1,249,258","140,470","328,783","572,472","895,771","300,000","300,000","50,179","53,487","350,179","353,487","1,137,475","1,679,095","14,296","4,861","10,489","3,308"
477,1990,LAND TRANSPORT ,"350,004",GOOD,"810,000",36,"4,801,505","3,539,085","1,982,701","1,455,937","6,784,206","4,995,022","3,016,607","2,365,239","4,199,581","2,568,231","350,002","350,002","2,234,623","2,076,789","2,584,625","2,426,791","3,726,876","4,083,797","-320,222","-177,218","-274,147","-157,834"
478,2000,LAND TRANSPORT ,"250,002",GOOD,"653,000",60,"1,446,055","1,626,187","548,235","321,739","1,994,290","1,947,926","1,018,141","1,109,946","2,035,486","2,186,625","200,000","200,000","-241,196","-438,699","-41,196","-238,699","3,250,024","2,619,707","-104,953","-189,025","-136,086","-197,503"
479,2007,LAND TRANSPORT ,"850,002",GOOD,"473,064",48,"912,820","690,845","1,497,960","1,450,458","2,410,780","2,141,303","2,407,597","2,353,665","2,651,774","2,450,885","250,000","250,000","-490,994","-559,582","-240,994","-309,582","3,527,651","3,724,509","77,215","-68,059","36,924","-68,588"
480,1995,LAND TRANSPORT ,"250,002",GOOD,"747,066",36,"2,751,040","3,320,168","2,746,494","3,082,083","5,497,534","6,402,251","4,139,821","5,010,941","5,086,267","5,960,284","250,000","250,000","161,267","191,967","411,267","441,967","13,275,250","14,923,340","122,159","150,700","50,159","30,700"
481,2010,LAND TRANSPORT ,"250,002",GOOD,"517,365",36,"263,484","195,514","525,849","1,153,132","789,333","1,348,646","685,604","851,126","757,397","1,125,990",2,"250,000","31,934","-27,344","31,936","222,656","1,876,672","2,125,035","-23,028","-56,922","-27,208","-59,278"
482,2006,LAND TRANSPORT ,"1,000,000",GOOD,"386,000",60,"555,597","1,343,824","934,874","1,416,240","1,490,471","2,760,064","662,997","748,990","1,106,556","2,025,486","250,000","500,000","133,915","234,578","383,915","734,578","2,948,917","4,464,191","180,139","166,935","137,689","100,663"
483,2007,LAND TRANSPORT ,"500,000",GOOD,"480,000",60,"5,977,261","4,810,482","314,133","245,972","6,291,394","5,056,454","2,263,446","1,289,251","5,828,138","4,587,364","500,000","500,000","-36,744","-30,910","463,256","469,090","4,582,305","6,449,294","20,698","9,379","11,148","5,834"
484,2007,LAND TRANSPORT ,"500,000",GOOD,"305,000",60,"944,763","850,155","837,717","1,124,771","1,782,480","1,974,926","780,200","791,495","1,290,818","1,333,260","250,000","250,000","241,662","391,666","491,662","641,666","2,224,922","2,338,980","129,499","199,893","102,184","150,004"
485,2014,LAND TRANSPORT ,"600,000",GOOD,"200,000",60,"297,450","351,023","315,443","258,464","612,893","609,487","294,264","383,488","525,056","767,958","300,000","300,000","-212,163","-458,471","87,837","-158,471","2,425,063","2,488,124","-137,719","-246,308","-137,719","-246,308"
486,1992,LAND TRANSPORT ,"250,001",GOOD,"234,000",36,"692,808","856,843","1,584,512","1,198,756","2,277,320","2,055,599","1,369,231","1,023,875","1,612,785","1,480,488","250,000","250,000","414,535","325,111","664,535","575,111","4,086,709","4,455,872","549,745","440,137","397,703","320,576"
487,2007,LAND TRANSPORT ,"500,001",GOOD,"1,380,000",60,30,1,"477,150","488,091","477,180","488,092","9,279","35,259","50,104","70,892","500,000","500,000","-72,924","-82,800","427,076","417,200",n.a.,n.a.,"-20,101","-7,778","-20,101","-9,876"
488,2004,LAND TRANSPORT ,"2,500,001",GOOD,"2,296,320",38,"9,583,764","11,285,342","10,017,511","8,333,478","19,601,275","19,618,820","11,065,671","9,532,856","15,426,095","15,150,621","2,500,000","2,500,000","1,675,180","1,968,199","4,175,180","4,468,199","21,918,481","21,386,414","1,125,992","478,274","866,988","293,019"
489,1994,LAND TRANSPORT ,"830,006",GOOD,"1,332,000",60,n.a.,"369,815",n.a.,"2,422,316",n.a.,"2,792,131",n.a.,"1,318,697",n.a.,"1,434,091",n.a.,"830,004",n.a.,"528,036",n.a.,"1,358,040",n.a.,"6,935,318",n.a.,"376,016",n.a.,"193,328"
490,1997,LAND TRANSPORT ,"336,004",GOOD,"313,700",39,"461,141","587,387","727,102","702,450","1,188,243","1,289,837","1,349,365","1,368,142","1,756,262","1,737,566","320,002","320,002","-888,021","-767,731","-568,019","-447,729","3,352,419","3,929,597","32,395","105,379","17,484","120,290"
491,2011,LAND TRANSPORT ,"500,000",GOOD,"613,380",42,"838,250","951,485","813,833","1,253,240","1,652,083","2,204,725","2,311,690","3,024,516","2,565,537","3,469,882","500,000","500,000","-1,413,454","-1,765,157","-913,454","-1,265,157","2,535,370","3,294,099","-168,647","-351,703","-168,647","-351,703"
492,2001,LAND TRANSPORT ,"1,000,000",GOOD,"365,320",48,"1,184,873","941,022","4,053,474","5,761,124","5,238,347","6,702,146","2,352,742","3,679,227","2,618,499","3,871,502","1,000,000","1,000,000","1,619,848","1,830,644","2,619,848","2,830,644","4,684,386","6,590,715","380,686","306,317","342,448","210,796"
493,2008,LAND TRANSPORT ,"300,000",GOOD,"1,962,000",24,"18,399,235","22,133,975","25,400,708","21,767,000","43,799,943","43,900,975","11,539,365","6,512,691","16,802,445","9,215,824","300,000","300,000","26,697,498","34,385,151","26,997,498","34,685,151","26,694,484","32,374,872","9,837,083","10,935,063","7,302,274","8,187,653"
494,2013,LAND TRANSPORT ,"500,002",GOOD,"712,000",48,n.a.,"1,508,245","300,064","4,358,236","300,064","5,866,481","5,771","4,677,016","5,771","5,732,464","300,000","300,000","-5,707","-165,983","294,293","134,017",n.a.,"6,025,332","-5,707","-153,976","-5,707","-160,276"
495,1937,LAND TRANSPORT ,"255,054",GOOD,"1,282,690",48,"3,087,703","3,146,765","1,577,060","1,209,211","4,664,763","4,355,976","872,352","755,512","2,014,395","1,804,622","255,052","255,052","2,395,316","2,296,302","2,650,368","2,551,354","4,972,510","5,133,518","543,304","-48,036","331,656","-99,014"
496,2012,LAND TRANSPORT ,"500,002",GOOD,"518,400",36,"165,000","148,673","628,980","561,099","793,980","709,772","244,054","110,202","244,054","110,202","500,000","500,000","49,926","99,570","549,926","599,570","3,549,527","2,555,102","47,733","54,802","41,416","49,644"
497,2011,LAND TRANSPORT ,"500,000",GOOD,"120,000",24,"2,949,329","2,332,321","858,972","696,517","3,808,301","3,028,838","1,350,501","474,539","3,332,864","2,499,142","250,000","500,000","225,437","29,696","475,437","529,696","3,532,508","3,368,302","130,211","44,366","96,300","4,260"
498,1993,LAND TRANSPORT ,"252,002",GOOD,"1,110,000",36,"154,828","292,728","1,284,832","4,920,565","1,439,660","5,213,293","1,189,112","4,802,280","1,189,112","4,811,200","252,002","252,002","-1,454","150,091","250,548","402,093","2,859,247","10,734,211","53,988","194,001","43,357","151,545"
499,1994,LAND TRANSPORT ,"504,000",GOOD,"2,349,000",49,"4,706,989","6,983,681","7,558,801","9,158,971","12,265,790","16,142,652","9,453,568","13,135,323","11,684,383","15,429,990","504,000","504,000","77,407","208,662","581,407","712,662","14,904,339","18,829,496","591,388","420,396","392,744","131,255"
500,1980,LAND TRANSPORT ,"1,210,000",GOOD,"108,000",48,"422,120","596,820","904,901","835,873","1,327,021","1,432,693","2,727,753","2,796,422","2,982,899","3,170,595","300,000","300,000","-1,955,878","-2,037,902","-1,655,878","-1,737,902","5,059,282","5,303,044","2,406","-82,024","2,406","-82,024"
501,2007,LAND TRANSPORT ,"500,000",GOOD,"2,414,725",37,"3,901,692","5,871,846","2,276,198","3,752,604","6,177,890","9,624,450","3,185,597","5,263,420","4,399,909","7,628,782","500,000","500,000","1,277,981","1,495,668","1,777,981","1,995,668","7,489,923","9,776,297","587,506","288,510","488,370","217,687"
502,1998,LAND TRANSPORT ,"4,750,000",GOOD,"687,600",60,"11,179,375","11,498,336","8,686,119","8,480,201","19,865,494","19,978,537","14,426,170","14,142,096","18,428,252","18,625,352","3,000,000","3,000,000","-1,562,758","-1,646,815","1,437,242","1,353,185","18,300,352","18,483,359","-409,809",691,"-405,809","-84,057"
503,2012,LAND TRANSPORT ,"500,000",GOOD,"198,285",60,"152,533","264,375","1,176,616","1,321,175","1,329,149","1,585,550","711,211","848,961","714,142","988,499","500,000","500,000","115,007","97,051","615,007","597,051","688,741","807,955","49,077","-13,945","35,556","-17,956"
504,2008,LAND TRANSPORT ,"3,000,001",GOOD,"180,000",36,"1,663,766","1,903,039","2,941,038","3,789,624","4,604,804","5,692,663","2,902,398","3,299,611","4,014,478","4,618,517","250,000","500,000","340,326","574,146","590,326","1,074,146","9,226,229","11,283,705","167,524","289,302","135,738","233,820"
505,2010,LAND TRANSPORT ,"500,001",GOOD,"835,560",48,"2,712,956","4,108,059","688,997","1,867,372","3,401,953","5,975,431","2,152,019","4,228,187","3,040,576","5,989,542","500,000","500,000","-138,623","-514,111","361,377","-14,111","2,458,959","3,579,756","-92,057","-375,488","-92,057","-375,488"
506,1990,LAND TRANSPORT ,"500,001",GOOD,"1,281,300",46,"293,561","2,932,430","3,997,117","4,594,077","4,290,678","7,526,507","1,861,132","3,025,844","1,868,132","4,955,062","500,000","500,000","1,922,546","2,071,445","2,422,546","2,571,445","15,341,315","19,228,114","433,773","627,133","336,240","463,899"
507,2009,LAND TRANSPORT ,"250,001",GOOD,"302,566",48,"953,267","1,353,194","568,611","877,654","1,521,878","2,230,848","798,872","1,216,553","1,321,748","2,037,331","250,000","250,000","-49,870","-56,483","200,130","193,517","1,161,062","2,643,148","-39,816","38,835","-44,561","-6,613"
508,2004,LAND TRANSPORT ,"500,001",GOOD,"4,888,500",48,"7,434,532","7,900,842","3,370,962","4,536,260","10,805,494","12,437,102","7,574,081","8,554,169","11,676,528","12,690,117","500,000","500,000","-1,371,034","-753,015","-871,034","-253,015","11,049,314","12,568,111","-149,496","618,019","-226,682","618,019"
509,2007,LAND TRANSPORT ,"400,001",GOOD,"707,025",60,"1,000,165","615,465","390,808","1,072,908","1,390,973","1,688,373","1,794,564","2,099,178","2,308,637","2,374,345","100,000","100,000","-1,017,663","-785,972","-917,663","-685,972","1,942,808","2,859,981","-253,198","231,691","-253,198","231,691"
510,1994,LAND TRANSPORT ,"500,001",GOOD,"660,000",48,"3,331,278","3,409,693","3,989,974","3,592,913","7,321,251","7,002,606","4,020,892","3,496,919","5,370,899","4,701,056","500,000","500,000","1,450,353","1,801,551","1,950,353","2,301,551","9,293,715","12,430,184","343,281","496,218","232,809","351,198"
511,2012,TRADING & WHOLESALE,"400,001",GOOD,"65,000",36,n.a.,"102,226",n.a.,"1,197,734",n.a.,"1,299,960",n.a.,"1,178,615",n.a.,"1,265,509",n.a.,2,n.a.,"34,449",n.a.,"34,451",n.a.,"2,847,117",n.a.,"47,094",n.a.,"34,449"
512,2008,TRADING & WHOLESALE,"1,500,001",GOOD,"542,720",36,"120,561","332,158","3,659,347","4,920,546","3,779,908","5,252,704","3,357,018","4,439,216","3,451,012","4,612,818","100,000","100,000","228,896","539,886","328,896","639,886","13,144,681","29,929,074","165,770","416,578","123,753","310,990"
513,2014,TRADING & WHOLESALE,"300,002",GOOD,"243,000",60,n.a.,"101,861",n.a.,"2,045,117",n.a.,"2,146,978",n.a.,"1,916,401",n.a.,"2,008,232",n.a.,"100,000",n.a.,"38,746",n.a.,"138,746",n.a.,"4,973,334",n.a.,"52,621",n.a.,"38,746"
514,1984,TRADING & WHOLESALE,"1,810,002",GOOD,"216,000",48,"3,498,977","3,147,195","2,131,718","3,182,595","5,630,695","6,329,790","4,018,650","4,572,112","5,142,341","5,624,654","1,810,000","1,810,000","-1,321,646","-1,104,864","488,354","705,136","4,276,895","5,592,431","-110,194","429,921","-124,290","216,782"
515,1986,TRADING & WHOLESALE,"962,002",GOOD,"84,550",24,"837,211","1,352,269","5,094,321","5,659,992","5,931,532","7,012,261","4,540,966","5,111,218","4,646,731","5,291,280","962,000","962,000","322,801","337,319","1,284,801","1,720,981","11,818,469","10,751,767","50,833","29,286","41,615","11,226"
516,2008,TRADING & WHOLESALE,"263,122",GOOD,"128,000",36,"1,090,323","1,072,436","2,275,988","2,181,605","3,366,311","3,254,041","2,251,777","2,313,746","3,300,479","3,247,711","150,000","163,120","-72,938","-116,826","77,062","46,294","4,326,874","4,739,532","-16,083","-46,281","-29,883","-72,620"
517,2009,TRADING & WHOLESALE,"250,002",GOOD,"100,000",36,"36,442","19,870","509,802","541,644","546,244","561,514","539,192","349,961","539,192","349,961","100,000","250,000","-92,948","-38,447","7,052","211,553","1,317,179","1,551,655","11,552","54,501","8,428","54,501"
518,2007,TRADING & WHOLESALE,"1,000,002",GOOD,"850,095",36,n.a.,"2,821,263",n.a.,"3,079,007",n.a.,"5,900,271",n.a.,"1,738,059",n.a.,"3,018,486",n.a.,"1,000,000",n.a.,"1,881,784",n.a.,"2,881,784",n.a.,"31,960,719",n.a.,"1,095,898",n.a.,"799,432"
519,2012,TRADING & WHOLESALE,"300,002",GOOD,"15,752",60,"152,374","2,030,462","802,482","1,594,447","954,857","3,624,909","473,391","2,332,564","531,169","2,972,723","100,000","100,000","323,688","552,186","423,688","652,186","1,781,719","2,605,634","205,619","301,927","157,934","228,498"
520,2006,TRADING & WHOLESALE,"250,002",GOOD,"110,000",36,"369,132","343,034","1,246,272","1,319,899","1,615,404","1,662,933","947,667","915,050","1,244,423","1,343,786","250,000","250,000","120,981","69,147","370,981","319,147","3,957,174","4,418,634","115,077","-57,603","88,305","-51,834"
521,1993,TRADING & WHOLESALE,"1,600,002",GOOD,"178,470",36,"4,365,644","6,288,296","2,779,201","3,679,028","7,144,845","9,967,324","2,908,637","4,872,717","6,100,840","8,658,367","1,100,000","1,100,000","-55,995","208,957","1,044,005","1,308,957","21,218,726","25,898,027","164,919","260,834","89,028","264,952"
522,1996,TRADING & WHOLESALE,"100,002",GOOD,"23,543",60,"43,960","142,579","12,838,157","17,096,985","12,882,117","17,239,564","9,936,409","13,087,387","9,941,281","13,087,387","100,000","100,000","2,840,836","4,052,177","2,940,836","4,152,177","25,629,145","30,176,040","671,090","1,670,217","492,897","1,211,341"
523,1998,TRADING & WHOLESALE,"900,002",GOOD,"462,599",36,"3,987,123","4,568,680","6,234,291","8,193,692","10,221,414","12,762,372","3,964,925","5,600,871","8,420,073","10,436,349","800,002","800,002","1,001,339","1,526,021","1,801,341","2,326,023","17,358,933","22,254,912","731,371","696,668","526,289","524,682"
524,1983,TRADING & WHOLESALE,"8,904,237",GOOD,"182,051",36,"11,578,701","11,406,416","35,405,839","42,760,406","46,984,540","54,166,822","27,810,409","35,648,738","34,272,201","41,558,302","2,457,456","2,457,456","5,954,883","5,851,064","12,712,339","12,608,520","53,183,209","59,494,626","37,557","178,568","-166,258","-60,819"
525,2009,TRADING & WHOLESALE,"6,352,452",GOOD,"926,943",46,"12,438,806","12,276,948","38,498,667","41,207,335","50,937,473","53,484,283","40,249,324","43,210,584","44,025,460","46,772,163","5,852,452","5,852,452","1,059,561","859,668","6,912,013","6,712,120","126,049,454","130,934,420","1,089,377","1,068,298","733,474","677,975"
526,2008,TRADING & WHOLESALE,"600,000",GOOD,"120,000",24,"888,955","1,502,783","749,438","2,601,699","1,638,393","4,104,482","1,015,476","2,658,372","1,309,717","2,988,501","50,000","50,000","278,676","1,065,981","328,676","1,115,981","3,817,780","5,793,058","131,689","386,879","103,188","309,217"
527,2009,TRADING & WHOLESALE,"2,500,000",GOOD,"770,000",60,"6,236,926","6,591,839","6,848,840","6,611,312","13,085,766","13,203,151","5,500,214","4,637,091","9,195,703","9,076,668","2,500,000","2,500,000","1,390,063","1,626,483","3,890,063","4,126,483","8,469,353","6,727,587","354,508","305,139","268,187","236,420"
528,2009,TRADING & WHOLESALE,"50,000",GOOD,"13,457",60,"319,297","177,082","2,291,004","2,807,881","2,610,301","2,984,963","1,333,246","1,646,257","1,604,718","2,621,007","50,000","50,000","955,583","313,956","1,005,583","363,956","6,093,236","4,888,980","414,609","-661,232","355,637","-641,627"
529,2011,TRADING & WHOLESALE,"100,000",GOOD,"292,000",36,"471,225","685,226","1,035,874","1,544,246","1,507,099","2,229,472","1,529,057","2,407,533","1,574,888","2,552,199","20,000","100,000","-87,789","-422,727","-67,789","-322,727","12,288,650","12,215,693","167,139","-326,907","166,767","-334,938"
530,2011,TRADING & WHOLESALE,"500,000",GOOD,"123,000",36,"2,813,925","2,667,540","3,730,716","4,455,904","6,544,641","7,123,444","2,338,713","2,979,650","5,347,757","5,614,538","500,000","500,000","696,884","1,008,906","1,196,884","1,508,906","8,519,096","9,779,973","340,692","577,059","280,701","462,022"
531,2011,TRADING & WHOLESALE,"500,000",GOOD,"188,357",48,"448,730","603,724","4,035,898","7,081,571","4,484,628","7,685,295","3,570,394","5,838,264","3,759,710","6,423,809","500,000","500,000","224,918","761,486","724,918","1,261,486","6,765,744","11,741,813","135,667","683,939","75,842","536,568"
532,2008,TRADING & WHOLESALE,"1,300,000",GOOD,"7,164",60,"3,439,577","4,663,987","12,684,717","13,346,905","16,124,294","18,010,892","12,527,803","12,455,433","14,210,302","13,970,101","1,300,000","1,300,000","613,992","2,740,791","1,913,992","4,040,791","19,896,913","20,563,575","-352,834","2,200,143","-408,762","2,126,799"
533,1989,TRADING & WHOLESALE,"2,600,000",GOOD,"11,560",59,"252,391","228,135","12,965,276","11,627,560","13,217,667","11,855,695","10,868,783","8,996,736","10,962,743","9,065,567","2,600,000","2,600,000","-345,076","190,128","2,254,924","2,790,128","38,951,012","39,042,871","376,496","605,377","267,376","535,204"
534,1994,TRADING & WHOLESALE,"1,000,000",GOOD,"6,623",60,"2,800,804","2,752,027","2,497,096","4,151,378","5,297,900","6,903,405","2,889,947","5,466,899","4,260,830","5,679,016","1,000,000","1,000,000","-112,930","74,389","887,070","1,074,389","6,730,300","9,194,988","177,692","279,517","102,033","187,319"
535,2007,TRADING & WHOLESALE,"2,500,000",GOOD,"11,210",60,"3,858,304","8,911,485","14,644,918","17,997,528","18,503,222","26,909,013","12,353,930","11,906,859","13,729,785","16,964,273","500,000","2,500,000","4,273,437","7,444,740","4,773,437","9,944,740","33,165,231","34,266,173","1,960,438","4,126,163","1,514,278","3,171,303"
536,2007,TRADING & WHOLESALE,"250,000",GOOD,"6,262",60,"3,180","2,750","702,340","586,263","705,520","589,013","413,403","418,565","416,103","421,265","250,000","250,000","39,417","-82,252","289,417","167,748","1,625,532","1,360,002","22,234","-121,669","17,398","-121,669"
537,2009,TRADING & WHOLESALE,"500,000",GOOD,"275,000",33,"2,046,732","1,927,443","4,093,454","5,083,201","6,140,186","7,010,644","3,456,980","3,951,101","4,275,697","4,637,970","500,000","500,000","1,364,489","1,872,674","1,864,489","2,372,674","7,928,344","7,764,884","532,934","623,934","378,704","508,185"
